ID (Field: tags),CatalogCoverage@5 (TR),CatalogCoverage@10 (TR)
Centroid Vector + Doc2Vec,51.83,68.35
Centroid Vector + GensimFastText,53.26,69.78
Centroid Vector + GensimLDA,56.45,70.86
Centroid Vector + GensimLSA,46.68,65.46
Centroid Vector + GensimRandomIndexing,45.76,64.81
Centroid Vector + SK-TFIDF,47.92,65.62
Centroid Vector + Sentence2Doc-Sbert,45.3,64.52
Centroid Vector + Word2Doc-GloVe,44.23,63.09
Centroid Vector + Word2Vec,51.11,68.24
Logistic Regression + Doc2Vec,67.81,76.74
Logistic Regression + GensimFastText,66.86,75.53
Logistic Regression + GensimLDA,66.16,76.98
Logistic Regression + GensimLSA,57.04,71.26
Logistic Regression + GensimRandomIndexing,57.47,71.8
Logistic Regression + SK-TFIDF,59.63,72.05
Logistic Regression + Sentence2Doc-Sbert,65.81,76.44
Logistic Regression + Word2Doc-GloVe,71.88,79.68
Logistic Regression + Word2Vec,66.54,75.47
Random Forest + Doc2Vec,61.28,73.77
Random Forest + GensimFastText,61.95,73.85
Random Forest + GensimLDA,68.4,78.31
Random Forest + GensimLSA,59.28,72.21
Random Forest + GensimRandomIndexing,59.98,72.53
Random Forest + SK-TFIDF,60.52,72.91
Random Forest + Sentence2Doc-Sbert,58.88,72.21
Random Forest + Word2Doc-GloVe,59.23,72.02
Random Forest + Word2Vec,61.31,74.1
SVC + Doc2Vec,66.14,75.28
SVC + GensimFastText,68.0,76.39
SVC + GensimLDA,69.32,78.06
SVC + GensimLSA,63.44,72.99
SVC + GensimRandomIndexing,63.84,73.18
SVC + SK-TFIDF,62.47,73.26
SVC + Sentence2Doc-Sbert,63.28,73.69
SVC + Word2Doc-GloVe,70.35,77.23
SVC + Word2Vec,68.05,76.15
