"ID (Field: description,genres,reviews)",DeltaGAP@10 | Blockbuster,DeltaGAP@10 | Niche,DeltaGAP@10 | Diverse
Centroid Vector + Doc2Vec,0.05895,0.03283,-0.03606
Centroid Vector + GensimFastText,0.04646,0.02435,-0.0603
Centroid Vector + GensimLDA,0.05017,0.02363,-0.05412
Centroid Vector + GensimLSA,0.07809,0.05534,0.01058
Centroid Vector + GensimRandomIndexing,0.08426,0.05954,0.02248
Centroid Vector + SK-TFIDF,0.08185,0.03757,-0.05175
Centroid Vector + Sentence2Doc-Sbert,0.06478,0.0361,-0.03559
Centroid Vector + Word2Doc-GloVe,0.08779,0.0714,0.03806
Centroid Vector + Word2Vec,0.03451,0.01267,-0.08895
Logistic Regression + Doc2Vec,0.08983,0.05885,-0.00725
Logistic Regression + GensimFastText,0.11297,0.09463,0.02809
Logistic Regression + GensimLDA,0.05696,0.03436,-0.02768
Logistic Regression + GensimLSA,0.08015,0.05585,0.01167
Logistic Regression + GensimRandomIndexing,0.07179,0.0489,0.0075
Logistic Regression + SK-TFIDF,0.07457,0.04065,-0.03079
Logistic Regression + Sentence2Doc-Sbert,0.06656,0.036,-0.0231
Logistic Regression + Word2Doc-GloVe,0.06003,0.0299,-0.03921
Logistic Regression + Word2Vec,0.1024,0.08267,0.01118
Random Forest + Doc2Vec,0.06602,0.04112,-0.02775
Random Forest + GensimFastText,0.05513,0.02442,-0.0475
Random Forest + GensimLDA,0.05447,0.02887,-0.03491
Random Forest + GensimLSA,0.04975,0.03044,-0.04796
Random Forest + GensimRandomIndexing,0.05623,0.02264,-0.06415
Random Forest + SK-TFIDF,0.07208,0.04397,-0.02487
Random Forest + Sentence2Doc-Sbert,0.07293,0.04231,-0.03687
Random Forest + Word2Doc-GloVe,0.07623,0.04069,-0.03307
Random Forest + Word2Vec,0.06356,0.03834,-0.03828
SVC + Doc2Vec,0.0702,0.04801,-0.02593
SVC + GensimFastText,0.07879,0.05603,-0.01029
SVC + GensimLDA,0.04677,0.02463,-0.0493
SVC + GensimLSA,0.07282,0.04702,-0.01774
SVC + GensimRandomIndexing,0.06432,0.0451,-0.01982
SVC + SK-TFIDF,0.06642,0.03177,-0.05367
SVC + Sentence2Doc-Sbert,0.06798,0.03887,-0.03988
SVC + Word2Doc-GloVe,0.0613,0.02998,-0.04499
SVC + Word2Vec,0.08184,0.04838,-0.02026
