"ID (Field: description,genres,tags,reviews)",DeltaGAP@5 | Blockbuster,DeltaGAP@5 | Niche,DeltaGAP@5 | Diverse
Centroid Vector + Doc2Vec,0.51905,0.50137,0.27625
Centroid Vector + GensimFastText,0.31182,0.27949,0.1354
Centroid Vector + GensimLDA,0.18355,0.14976,-9e-05
Centroid Vector + GensimLSA,0.15278,0.09329,-0.02811
Centroid Vector + GensimRandomIndexing,0.18101,0.13914,0.03055
Centroid Vector + SK-TFIDF,0.39766,0.40696,0.14252
Centroid Vector + Sentence2Doc-Sbert,0.38441,0.37691,0.19052
Centroid Vector + Word2Doc-GloVe,0.24342,0.21738,0.10056
Centroid Vector + Word2Vec,0.31967,0.28607,0.1428
Logistic Regression + Doc2Vec,0.1925,0.13295,-0.06036
Logistic Regression + GensimFastText,0.25326,0.18586,0.00629
Logistic Regression + GensimLDA,0.22954,0.17774,0.01204
Logistic Regression + GensimLSA,0.26546,0.21179,0.06287
Logistic Regression + GensimRandomIndexing,0.25924,0.21185,0.04613
Logistic Regression + SK-TFIDF,0.35416,0.31918,0.0755
Logistic Regression + Sentence2Doc-Sbert,0.30479,0.26678,0.07119
Logistic Regression + Word2Doc-GloVe,0.17461,0.12517,-0.05448
Logistic Regression + Word2Vec,0.23307,0.1749,-0.0164
Random Forest + Doc2Vec,0.31273,0.2625,0.05666
Random Forest + GensimFastText,0.31265,0.26225,0.07291
Random Forest + GensimLDA,0.27704,0.22645,0.01916
Random Forest + GensimLSA,0.34295,0.3107,0.03074
Random Forest + GensimRandomIndexing,0.40284,0.36525,0.07351
Random Forest + SK-TFIDF,0.34452,0.29991,0.0567
Random Forest + Sentence2Doc-Sbert,0.31157,0.27225,0.06419
Random Forest + Word2Doc-GloVe,0.32034,0.28712,0.07266
Random Forest + Word2Vec,0.31073,0.25475,0.05818
SVC + Doc2Vec,0.29414,0.22541,0.00392
SVC + GensimFastText,0.25458,0.17218,-0.0114
SVC + GensimLDA,0.18247,0.10581,-0.04731
SVC + GensimLSA,0.17935,0.10809,-0.05177
SVC + GensimRandomIndexing,0.171,0.08871,-0.04878
SVC + SK-TFIDF,0.31843,0.25692,0.01662
SVC + Sentence2Doc-Sbert,0.33602,0.29607,0.04095
SVC + Word2Doc-GloVe,0.17247,0.10056,-0.0736
SVC + Word2Vec,0.2535,0.18561,-0.02936
