ID (Field: tags),Gini@5 (TR),Gini@10 (TR)
Centroid Vector + Doc2Vec,0.7562,0.7388
Centroid Vector + GensimFastText,0.7482,0.7346
Centroid Vector + GensimLDA,0.7064,0.7072
Centroid Vector + GensimLSA,0.8004,0.7764
Centroid Vector + GensimRandomIndexing,0.7972,0.7746
Centroid Vector + SK-TFIDF,0.7819,0.7626
Centroid Vector + Sentence2Doc-Sbert,0.7778,0.7667
Centroid Vector + Word2Doc-GloVe,0.7911,0.7709
Centroid Vector + Word2Vec,0.7555,0.7397
Logistic Regression + Doc2Vec,0.655,0.6744
Logistic Regression + GensimFastText,0.6802,0.688
Logistic Regression + GensimLDA,0.6724,0.6809
Logistic Regression + GensimLSA,0.7302,0.7173
Logistic Regression + GensimRandomIndexing,0.7286,0.7163
Logistic Regression + SK-TFIDF,0.7222,0.7201
Logistic Regression + Sentence2Doc-Sbert,0.6834,0.6891
Logistic Regression + Word2Doc-GloVe,0.6486,0.6688
Logistic Regression + Word2Vec,0.6736,0.6828
Random Forest + Doc2Vec,0.7101,0.7081
Random Forest + GensimFastText,0.7116,0.7059
Random Forest + GensimLDA,0.6701,0.6803
Random Forest + GensimLSA,0.7265,0.7277
Random Forest + GensimRandomIndexing,0.7271,0.7245
Random Forest + SK-TFIDF,0.7256,0.7204
Random Forest + Sentence2Doc-Sbert,0.7237,0.7224
Random Forest + Word2Doc-GloVe,0.7285,0.7233
Random Forest + Word2Vec,0.7112,0.7088
SVC + Doc2Vec,0.6839,0.6967
SVC + GensimFastText,0.6718,0.6914
SVC + GensimLDA,0.6741,0.682
SVC + GensimLSA,0.6901,0.703
SVC + GensimRandomIndexing,0.6901,0.7044
SVC + SK-TFIDF,0.7119,0.7143
SVC + Sentence2Doc-Sbert,0.7054,0.7128
SVC + Word2Doc-GloVe,0.6435,0.674
SVC + Word2Vec,0.6747,0.6919
