ID (Field: reviews),MRR@5 (TR),MRR@10 (TR)
Centroid Vector + Doc2Vec,0.7504,0.7529
Centroid Vector + GensimFastText,0.7454,0.7481
Centroid Vector + GensimLDA,0.7487,0.7509
Centroid Vector + GensimLSA,0.7728,0.7747
Centroid Vector + GensimRandomIndexing,0.7602,0.7623
Centroid Vector + SK-TFIDF,0.7637,0.7664
Centroid Vector + Sentence2Doc-Sbert,0.7594,0.7612
Centroid Vector + Word2Doc-GloVe,0.7548,0.7574
Centroid Vector + Word2Vec,0.758,0.7606
Logistic Regression + Doc2Vec,0.8094,0.8108
Logistic Regression + GensimFastText,0.7939,0.7954
Logistic Regression + GensimLDA,0.7652,0.7672
Logistic Regression + GensimLSA,0.8089,0.8105
Logistic Regression + GensimRandomIndexing,0.7988,0.8005
Logistic Regression + SK-TFIDF,0.8314,0.8322
Logistic Regression + Sentence2Doc-Sbert,0.8148,0.816
Logistic Regression + Word2Doc-GloVe,0.7897,0.7912
Logistic Regression + Word2Vec,0.7987,0.7998
Random Forest + Doc2Vec,0.8132,0.8147
Random Forest + GensimFastText,0.7843,0.786
Random Forest + GensimLDA,0.7622,0.7642
Random Forest + GensimLSA,0.7916,0.7932
Random Forest + GensimRandomIndexing,0.7888,0.7906
Random Forest + SK-TFIDF,0.7866,0.7882
Random Forest + Sentence2Doc-Sbert,0.8085,0.81
Random Forest + Word2Doc-GloVe,0.7955,0.7969
Random Forest + Word2Vec,0.7955,0.7971
SVC + Doc2Vec,0.7585,0.7611
SVC + GensimFastText,0.7455,0.7486
SVC + GensimLDA,0.7349,0.7379
SVC + GensimLSA,0.7546,0.7577
SVC + GensimRandomIndexing,0.7354,0.7385
SVC + SK-TFIDF,0.7262,0.7292
SVC + Sentence2Doc-Sbert,0.7594,0.7619
SVC + Word2Doc-GloVe,0.7469,0.7501
SVC + Word2Vec,0.7499,0.7526
