"ID (Field: genres,tags,reviews)",NDCG@5 (TR),NDCG@10 (TR)
Centroid Vector + Doc2Vec,0.8859,0.9499
Centroid Vector + GensimFastText,0.871,0.9426
Centroid Vector + GensimLDA,0.8464,0.9313
Centroid Vector + GensimLSA,0.8422,0.9293
Centroid Vector + GensimRandomIndexing,0.844,0.9303
Centroid Vector + SK-TFIDF,0.8754,0.9447
Centroid Vector + Sentence2Doc-Sbert,0.8762,0.9451
Centroid Vector + Word2Doc-GloVe,0.8545,0.9347
Centroid Vector + Word2Vec,0.8757,0.945
Logistic Regression + Doc2Vec,0.875,0.945
Logistic Regression + GensimFastText,0.8718,0.9433
Logistic Regression + GensimLDA,0.8689,0.9415
Logistic Regression + GensimLSA,0.868,0.9414
Logistic Regression + GensimRandomIndexing,0.8663,0.9407
Logistic Regression + SK-TFIDF,0.8877,0.9503
Logistic Regression + Sentence2Doc-Sbert,0.8807,0.9474
Logistic Regression + Word2Doc-GloVe,0.869,0.9417
Logistic Regression + Word2Vec,0.8751,0.9448
Random Forest + Doc2Vec,0.884,0.949
Random Forest + GensimFastText,0.8805,0.9471
Random Forest + GensimLDA,0.8688,0.9418
Random Forest + GensimLSA,0.8763,0.945
Random Forest + GensimRandomIndexing,0.8831,0.9485
Random Forest + SK-TFIDF,0.8785,0.9461
Random Forest + Sentence2Doc-Sbert,0.8812,0.9476
Random Forest + Word2Doc-GloVe,0.8814,0.9474
Random Forest + Word2Vec,0.8835,0.9484
SVC + Doc2Vec,0.8723,0.9426
SVC + GensimFastText,0.8578,0.9361
SVC + GensimLDA,0.8523,0.933
SVC + GensimLSA,0.8399,0.9276
SVC + GensimRandomIndexing,0.8374,0.9263
SVC + SK-TFIDF,0.8688,0.9406
SVC + Sentence2Doc-Sbert,0.8723,0.9425
SVC + Word2Doc-GloVe,0.8508,0.9327
SVC + Word2Vec,0.8623,0.9379
