ID (Field: genres),NDCG@5 (TR),NDCG@10 (TR)
Centroid Vector + Doc2Vec,0.8444,0.9297
Centroid Vector + GensimFastText,0.8428,0.9288
Centroid Vector + GensimLDA,0.8432,0.9292
Centroid Vector + GensimLSA,0.8476,0.9314
Centroid Vector + GensimRandomIndexing,0.8457,0.9304
Centroid Vector + SK-TFIDF,0.8456,0.9308
Centroid Vector + Sentence2Doc-Sbert,0.8447,0.9302
Centroid Vector + Word2Doc-GloVe,0.8442,0.9298
Centroid Vector + Word2Vec,0.844,0.9296
Logistic Regression + Doc2Vec,0.8447,0.9298
Logistic Regression + GensimFastText,0.8488,0.9318
Logistic Regression + GensimLDA,0.8467,0.9308
Logistic Regression + GensimLSA,0.8566,0.9357
Logistic Regression + GensimRandomIndexing,0.8561,0.9355
Logistic Regression + SK-TFIDF,0.8578,0.9363
Logistic Regression + Sentence2Doc-Sbert,0.8534,0.9341
Logistic Regression + Word2Doc-GloVe,0.8572,0.936
Logistic Regression + Word2Vec,0.8505,0.9329
Random Forest + Doc2Vec,0.8514,0.9332
Random Forest + GensimFastText,0.852,0.9335
Random Forest + GensimLDA,0.8445,0.93
Random Forest + GensimLSA,0.8515,0.9334
Random Forest + GensimRandomIndexing,0.8515,0.9333
Random Forest + SK-TFIDF,0.854,0.9346
Random Forest + Sentence2Doc-Sbert,0.8506,0.9328
Random Forest + Word2Doc-GloVe,0.8515,0.9333
Random Forest + Word2Vec,0.8528,0.934
SVC + Doc2Vec,0.8332,0.9242
SVC + GensimFastText,0.8393,0.9272
SVC + GensimLDA,0.8368,0.9262
SVC + GensimLSA,0.8444,0.9298
SVC + GensimRandomIndexing,0.8443,0.9298
SVC + SK-TFIDF,0.8425,0.9289
SVC + Sentence2Doc-Sbert,0.8422,0.929
SVC + Word2Doc-GloVe,0.8403,0.9278
SVC + Word2Vec,0.8376,0.9262
