ID (Field: reviews),NDCG@5 (TR),NDCG@10 (TR)
Centroid Vector + Doc2Vec,0.8372,0.9264
Centroid Vector + GensimFastText,0.8351,0.9255
Centroid Vector + GensimLDA,0.8373,0.9266
Centroid Vector + GensimLSA,0.8427,0.9292
Centroid Vector + GensimRandomIndexing,0.8386,0.9272
Centroid Vector + SK-TFIDF,0.8415,0.9286
Centroid Vector + Sentence2Doc-Sbert,0.8416,0.9285
Centroid Vector + Word2Doc-GloVe,0.8389,0.927
Centroid Vector + Word2Vec,0.8391,0.9273
Logistic Regression + Doc2Vec,0.8567,0.9355
Logistic Regression + GensimFastText,0.8527,0.9338
Logistic Regression + GensimLDA,0.8429,0.9292
Logistic Regression + GensimLSA,0.8562,0.9354
Logistic Regression + GensimRandomIndexing,0.8496,0.9323
Logistic Regression + SK-TFIDF,0.8617,0.9375
Logistic Regression + Sentence2Doc-Sbert,0.8591,0.9367
Logistic Regression + Word2Doc-GloVe,0.8511,0.933
Logistic Regression + Word2Vec,0.8531,0.9335
Random Forest + Doc2Vec,0.8555,0.9351
Random Forest + GensimFastText,0.8468,0.931
Random Forest + GensimLDA,0.8402,0.9277
Random Forest + GensimLSA,0.8483,0.9316
Random Forest + GensimRandomIndexing,0.8474,0.9313
Random Forest + SK-TFIDF,0.8485,0.9319
Random Forest + Sentence2Doc-Sbert,0.8556,0.9351
Random Forest + Word2Doc-GloVe,0.8522,0.9336
Random Forest + Word2Vec,0.852,0.9332
SVC + Doc2Vec,0.8431,0.9289
SVC + GensimFastText,0.8374,0.9262
SVC + GensimLDA,0.8332,0.9241
SVC + GensimLSA,0.8421,0.9283
SVC + GensimRandomIndexing,0.8342,0.9249
SVC + SK-TFIDF,0.8325,0.9238
SVC + Sentence2Doc-Sbert,0.8437,0.9293
SVC + Word2Doc-GloVe,0.837,0.9262
SVC + Word2Vec,0.8402,0.9272
