ID (Field: reviews),Precision@5 (TR),Precision@10 (TR)
Centroid Vector + Doc2Vec,0.5772,0.572
Centroid Vector + GensimFastText,0.5687,0.5665
Centroid Vector + GensimLDA,0.5819,0.5732
Centroid Vector + GensimLSA,0.5911,0.5773
Centroid Vector + GensimRandomIndexing,0.5806,0.572
Centroid Vector + SK-TFIDF,0.5888,0.5782
Centroid Vector + Sentence2Doc-Sbert,0.5858,0.5763
Centroid Vector + Word2Doc-GloVe,0.5744,0.571
Centroid Vector + Word2Vec,0.578,0.5691
Logistic Regression + Doc2Vec,0.6372,0.6154
Logistic Regression + GensimFastText,0.627,0.6096
Logistic Regression + GensimLDA,0.5916,0.5846
Logistic Regression + GensimLSA,0.629,0.6066
Logistic Regression + GensimRandomIndexing,0.6152,0.5979
Logistic Regression + SK-TFIDF,0.6517,0.6226
Logistic Regression + Sentence2Doc-Sbert,0.6433,0.6203
Logistic Regression + Word2Doc-GloVe,0.6185,0.6058
Logistic Regression + Word2Vec,0.6313,0.6114
Random Forest + Doc2Vec,0.6299,0.6101
Random Forest + GensimFastText,0.6089,0.5957
Random Forest + GensimLDA,0.5836,0.5746
Random Forest + GensimLSA,0.6124,0.5951
Random Forest + GensimRandomIndexing,0.609,0.5951
Random Forest + SK-TFIDF,0.6141,0.5983
Random Forest + Sentence2Doc-Sbert,0.6309,0.6126
Random Forest + Word2Doc-GloVe,0.6183,0.6011
Random Forest + Word2Vec,0.6229,0.6034
SVC + Doc2Vec,0.5945,0.5875
SVC + GensimFastText,0.5791,0.5778
SVC + GensimLDA,0.5642,0.5652
SVC + GensimLSA,0.5923,0.585
SVC + GensimRandomIndexing,0.5701,0.5703
SVC + SK-TFIDF,0.5649,0.5651
SVC + Sentence2Doc-Sbert,0.5978,0.5898
SVC + Word2Doc-GloVe,0.577,0.5777
SVC + Word2Vec,0.5867,0.5822
