ID (Field: description),Recall@5 (TR),Recall@10 (TR)
Centroid Vector + Doc2Vec,0.367,0.5726
Centroid Vector + GensimFastText,0.3668,0.5713
Centroid Vector + GensimLDA,0.3581,0.5662
Centroid Vector + GensimLSA,0.3666,0.5746
Centroid Vector + GensimRandomIndexing,0.3658,0.5733
Centroid Vector + SK-TFIDF,0.3727,0.5786
Centroid Vector + Sentence2Doc-Sbert,0.3693,0.574
Centroid Vector + Word2Doc-GloVe,0.3698,0.5743
Centroid Vector + Word2Vec,0.3683,0.5726
Logistic Regression + Doc2Vec,0.367,0.5764
Logistic Regression + GensimFastText,0.3607,0.5697
Logistic Regression + GensimLDA,0.361,0.5691
Logistic Regression + GensimLSA,0.3693,0.5784
Logistic Regression + GensimRandomIndexing,0.3675,0.5743
Logistic Regression + SK-TFIDF,0.3764,0.5836
Logistic Regression + Sentence2Doc-Sbert,0.3724,0.5808
Logistic Regression + Word2Doc-GloVe,0.3751,0.5838
Logistic Regression + Word2Vec,0.3626,0.5705
Random Forest + Doc2Vec,0.3664,0.5753
Random Forest + GensimFastText,0.3638,0.5715
Random Forest + GensimLDA,0.3664,0.5703
Random Forest + GensimLSA,0.3657,0.5736
Random Forest + GensimRandomIndexing,0.3621,0.5705
Random Forest + SK-TFIDF,0.3684,0.5761
Random Forest + Sentence2Doc-Sbert,0.3704,0.5783
Random Forest + Word2Doc-GloVe,0.3741,0.5814
Random Forest + Word2Vec,0.3635,0.5687
SVC + Doc2Vec,0.3563,0.5663
SVC + GensimFastText,0.3572,0.5677
SVC + GensimLDA,0.359,0.5687
SVC + GensimLSA,0.3578,0.5686
SVC + GensimRandomIndexing,0.3575,0.5676
SVC + SK-TFIDF,0.3522,0.5648
SVC + Sentence2Doc-Sbert,0.358,0.5709
SVC + Word2Doc-GloVe,0.3573,0.5692
SVC + Word2Vec,0.3595,0.5667
