ID (Field: tags),Recall@5 (TR),Recall@10 (TR)
Centroid Vector + Doc2Vec,0.4238,0.6243
Centroid Vector + GensimFastText,0.412,0.6145
Centroid Vector + GensimLDA,0.4007,0.6035
Centroid Vector + GensimLSA,0.4261,0.6242
Centroid Vector + GensimRandomIndexing,0.4252,0.6243
Centroid Vector + SK-TFIDF,0.4262,0.6273
Centroid Vector + Sentence2Doc-Sbert,0.4213,0.6228
Centroid Vector + Word2Doc-GloVe,0.4177,0.6181
Centroid Vector + Word2Vec,0.415,0.6164
Logistic Regression + Doc2Vec,0.409,0.619
Logistic Regression + GensimFastText,0.4059,0.6139
Logistic Regression + GensimLDA,0.4001,0.6103
Logistic Regression + GensimLSA,0.4245,0.629
Logistic Regression + GensimRandomIndexing,0.4204,0.625
Logistic Regression + SK-TFIDF,0.4277,0.6351
Logistic Regression + Sentence2Doc-Sbert,0.4164,0.6211
Logistic Regression + Word2Doc-GloVe,0.4029,0.6136
Logistic Regression + Word2Vec,0.4076,0.616
Random Forest + Doc2Vec,0.4208,0.6266
Random Forest + GensimFastText,0.4148,0.6197
Random Forest + GensimLDA,0.4014,0.6116
Random Forest + GensimLSA,0.4221,0.6284
Random Forest + GensimRandomIndexing,0.4232,0.6282
Random Forest + SK-TFIDF,0.4279,0.6341
Random Forest + Sentence2Doc-Sbert,0.421,0.6279
Random Forest + Word2Doc-GloVe,0.42,0.6258
Random Forest + Word2Vec,0.4161,0.622
SVC + Doc2Vec,0.3993,0.6179
SVC + GensimFastText,0.3884,0.6055
SVC + GensimLDA,0.3821,0.5992
SVC + GensimLSA,0.4076,0.6216
SVC + GensimRandomIndexing,0.4045,0.6222
SVC + SK-TFIDF,0.404,0.6233
SVC + Sentence2Doc-Sbert,0.4024,0.6207
SVC + Word2Doc-GloVe,0.3802,0.604
SVC + Word2Vec,0.3877,0.6086
