ID,Gini - Top 5 | Test Ratings,Gini - Top 10 | Test Ratings,Gini - Top 10 | All Items,Gini - Top 20 | All Items
Centroid Vector + Doc2Vec,0.70795,0.6988,0.85688,0.85628
Centroid Vector + SK-TFIDF,0.65711,0.65614,0.8182,0.80054
Centroid Vector + Word2Vec,0.69588,0.68997,0.84673,0.83971
Logistic Regression + Doc2Vec,0.64059,0.64305,0.88967,0.88386
Logistic Regression + SK-TFIDF,0.62702,0.64445,0.4508,0.42296
Logistic Regression + Word2Vec,0.63148,0.63813,0.85721,0.86384
Random Forest + Doc2Vec,0.63819,0.65093,0.0,0.0
Random Forest + SK-TFIDF,0.63961,0.65299,0.64813,0.5919
Random Forest + Word2Vec,0.63994,0.65248,0.70646,0.65657
SVC + SK-TFIDF,0.61738,0.63921,0.38428,0.33311
SVC + Word2Vec,0.61092,0.63532,0.73852,0.67802
