ID,NDCG@5 | Test Ratings,NDCG@10 | Test Ratings,NDCG@10 | All Items,NDCG@20 | All Items
Centroid Vector + Doc2Vec,0.84314,0.9294,0.10257,0.15853
Centroid Vector + SK-TFIDF,0.84558,0.93079,0.10461,0.16196
Centroid Vector + Word2Vec,0.84397,0.92961,0.09273,0.1454
Logistic Regression + Doc2Vec,0.84606,0.93045,0.01936,0.03311
Logistic Regression + SK-TFIDF,0.85776,0.93634,0.05539,0.08319
Logistic Regression + Word2Vec,0.85053,0.9329,0.01513,0.02547
Random Forest + Doc2Vec,0.85229,0.93351,0.0,0.0
Random Forest + SK-TFIDF,0.85395,0.93462,0.07841,0.12001
Random Forest + Word2Vec,0.8528,0.934,0.08148,0.12333
SVC + SK-TFIDF,0.84247,0.92892,0.06412,0.0966
SVC + Word2Vec,0.83759,0.92625,0.02855,0.04557
