user_id,Precision@10 - macro,Recall@10 - macro,F1@10 - macro,NDCG@10
1,0.8,1.0,0.888888888888889,0.9368104005576843
10,0.6,0.18181818181818182,0.27906976744186046,0.9765981605138886
100,0.7,0.5384615384615384,0.608695652173913,0.9456598037379751
1000,0.3,0.375,0.33333333333333326,0.9754136306780333
1001,0.9,0.1836734693877551,0.30508474576271183,0.9611499012727941
1002,0.3,0.75,0.4285714285714285,0.9611499012727941
1003,0.5,1.0,0.6666666666666666,0.9205314346594947
1004,0.5,0.11904761904761904,0.1923076923076923,0.8627691412963654
1005,0.4,0.4444444444444444,0.4210526315789474,0.9407263334489679
1006,0.4444444444444444,1.0,0.6153846153846153,0.8614706472490543
1007,0.42857142857142855,1.0,0.6,0.9314329779731365
1008,0.2,1.0,0.33333333333333337,0.9460547969132242
1009,0.5,0.8333333333333334,0.625,0.9050169704420311
101,0.9,0.5,0.6428571428571429,0.9999999999999999
1010,0.5,0.05952380952380952,0.10638297872340424,0.8911006695717264
1011,0.5,1.0,0.6666666666666666,0.9650121034596131
1012,0.4,0.8,0.5333333333333333,0.8656396542547106
1013,0.5,1.0,0.6666666666666666,0.8746016257695172
1014,0.625,1.0,0.7692307692307693,0.9319481455297143
1015,0.7,0.04697986577181208,0.0880503144654088,0.9390654314642709
1016,0.6,0.2727272727272727,0.37499999999999994,0.9205109565952955
1017,0.7,0.14285714285714285,0.23728813559322035,0.9744606362288807
1018,0.6,0.46153846153846156,0.5217391304347826,0.940192863600482
1019,0.2,0.02564102564102564,0.045454545454545456,0.8487812775610236
102,0.4,0.3333333333333333,0.3636363636363636,0.8576202898811235
1020,0.6,0.5,0.5454545454545454,0.944651369352395
1021,0.9,0.4090909090909091,0.5625000000000001,0.9747846602592268
1022,0.6,0.35294117647058826,0.4444444444444445,0.9396651092650257
1023,0.4444444444444444,1.0,0.6153846153846153,0.9672273866004408
1024,0.7777777777777778,1.0,0.8750000000000001,0.997639952644368
1025,0.5714285714285714,1.0,0.7272727272727273,0.8399301176375331
1026,0.6666666666666666,1.0,0.8,0.9348469692916053
1027,0.7,1.0,0.8235294117647058,0.944268452748382
1028,0.8,1.0,0.888888888888889,0.9820012349491912
1029,0.5,0.23809523809523808,0.3225806451612903,0.8523217108736516
103,0.4,0.4444444444444444,0.4210526315789474,0.9700927458242443
1030,0.4,0.19047619047619047,0.25806451612903225,0.8999685658869019
1031,0.3,0.375,0.33333333333333326,0.9611499012727941
1032,0.3,0.42857142857142855,0.3529411764705882,0.91787323683998
1033,0.5,0.29411764705882354,0.37037037037037035,0.8677651953840931
